id,名称,学名,形态,花期,颜色,描述,变种
0,杜鹃花,羊踯躅,填充花,春季,白色,,
1,仙客来,仙客来,填充花,春季,白色,,
2,绣球,大叶绣球,填充花,全年,白色,,
3,尖瓣藤,尖瓣藤,填充花,全年,奶白色,,
4,樱花,彼岸樱,线性花/填充花,春季,白色,,十月樱
5,袋鼠爪,袋鼠爪,线性花/簇形花,全年,,,灌木钻石
6,紫罗兰,紫罗兰,线性花/填充花,全年,白色,重瓣,
7,毛莨,花毛莨,定形花/填充花,冬季/春季,白色,重瓣,
8,法兰绒花,法兰绒花,填充花/簇形花,冬季/春季,白色,,
9,翠雀,翠雀,定形花/线形花,全年,,,白色百夫长
10,纸白水仙,纸白水仙,填充花,冬季/春季,白色,,
11,玫瑰,蔷薇,填充花,全年,,,西藏
12,纸花葱,纸花葱,线形花/簇形花,春季/夏季,白色,,
13,百合,百合,定形花,全年,,,金发美人
14,散枝型康乃馨,石竹,簇形花/填充花,全年,,,白石榴
15,蓝盆花,黄盆花,线形花,全年,白色,,
16,纳丽花,宝典纳丽花,填充花/簇形花,全年,白色,,帕利达
17,银莲花,罂粟秋牡丹,定形花,冬季/春季,白色,每茎一花,
18,绣线菊,绣线菊,线形花/簇形花,冬季/春季,,,尖齿
19,银莲花,银莲花,定形花,冬季/春季,白色,,德肯群
20,玫瑰,蔷薇,定形花/填充花,春季/秋季,,温彻斯特大教堂玫瑰,AUSeat
21,玫瑰,蔷薇,填充花,全年,,,白色马约利卡瓷
22,散枝型康乃馨,石竹,填充花/簇形花,全年,,,暴雪太子
23,芍药,芍药,定形花,春季,,,奶油碗
24,孤挺花,朱顶红,定形花,冬季,,,白耀
25,马蹄莲,马蹄莲,定形花/线形花,全年,白色,,
26,星芹,星芹,簇形花/填充花,全年,,,白色巨人
27,丁香花,欧丁香,填充花,春季,白色,,
28,唐菖蒲,唐菖蒲,线形花,全年,,,白色繁荣
29,小苍兰,小苍兰,填充花,全年,白色,,
30,水仙,杂交红口水仙,定形花/填充花,冬季/春季,白色,,
